input freq (MHz),temp/C,highest voltage that still has symm (mV),lowest voltage that still has symm (mV),voltage  (mV),base error (mV),with fluc,current (A),error(A),,y-intercept,,1.21E-03
2,46,8.975,9.0041,8.98955,0.0001,0.01465,0.898955,0.001465,,estimate of ambient B field (G),,
2.1,46.4,9.3649,9.453,9.40895,0.0001,0.04415,0.940895,0.004415,,,,
2.2,46.9,9.753,9.9055,9.82925,0.0001,0.07635,0.982925,0.007635,,,,
2.3,47.5,10.4295,10.4089,10.4192,0.0001,0.0104,1.04192,0.00104,,,,
2.4,48.2,10.9623,10.8536,10.90795,0.0001,0.05445,1.090795,0.005445,,,,
2.5,49.1,11.433,11.348,11.3905,0.0001,0.0426,1.13905,0.00426,,,,
2.6,50.3,12.0342,11.9294,11.9818,0.0001,0.0525,1.19818,0.00525,,,,
2.7,51.5,12.4472,12.1807,12.31395,0.0001,0.13335,1.231395,0.013335,,,,
2.8,50.6,12.952,12.8246,12.8883,0.0001,0.0638,1.28883,0.00638,,,,
2.9,47.3,13.3856,13.5265,13.45605,0.0001,0.07055,1.345605,0.007055,,,,
3,45.5,13.8942,14.1986,14.0464,0.0001,0.1523,1.40464,0.01523,,,,