input freq (MHz),temp/C,highest voltage that still has symm (mV),lowest voltage that still has symm (mV),voltage  (mV),base error (mV),with fluc,current (A),error(A),,y-intercept,
2,47.3,10.76,10.4414,10.6007,0.0001,0.1594,1.06007,0.01594,,estimate of ambient B field (G),
2.1,46.7,11.26,11.352,11.306,0.0001,0.0461,1.1306,0.00461,,,
2.2,45.8,11.608,11.7591,11.68355,0.0001,0.07565,1.168355,0.007565,,,frequency
2.3,47.4,12.2771,12.1093,12.1932,0.0001,0.084,1.21932,0.0084,,zero field measurement,"299,210"
2.4,50.2,12.7649,12.5545,12.6597,0.0001,0.1053,1.26597,0.01053,,,
2.5,50.8,13.2181,13.3149,13.2665,0.0001,0.0485,1.32665,0.00485,,,
2.6,50.3,13.8695,14.0021,13.9358,0.0001,0.0664,1.39358,0.00664,,,
2.7,49.5,14.1062,14.2479,14.17705,0.0001,0.07095,1.417705,0.007095,,,
2.8,48.5,14.7485,14.54,14.64425,0.0001,0.10435,1.464425,0.010435,,,
2.9,47.6,15.24489,15.1435,15.194195,0.0001,0.050795,1.5194195,0.0050795,,,
3,47,15.72,15.6301,15.67505,0.0001,0.04505,1.567505,0.004505,,,